"00B","Diver","Enlisted"
"00E","Recruiter","Enlisted"
"00H","Enlisted Aide","Enlisted"
"00R","Recruiter/Retention NCO","Enlisted"
"00Z","Command Sergeant Major Nominative","Enlisted"
"01A","Officer Generalist","Officer"
"01B","Electrical-Electronic Engineering Assistant","Enlisted"
"01B","Aviation/Infantry/Armor/Military Intelligence Immaterial","Officer"
"01C","Mechanical Engineering Assistant","Enlisted"
"01C","Chemical/Engineer/Military Police Immaterial","Officer"
"01D","Civil Engineering Assistant","Enlisted"
"01D","Financial Management/Adjutant General immaterial","Officer"
"01E","Mathematics-Statistics Assistant","Enlisted"
"01F","Physical Sciences Assistant","Enlisted"
"01G","Chemical Engineering Assistant","Enlisted"
"01H","Biological Sciences Assistant","Enlisted"
"02A","Army Bandperson","Enlisted"
"02A","Combat Arms Generalist","Officer"
"02B","Cornet or Trumpet Player","Enlisted"
"02B","Infantry/Armor Immaterial","Officer"
"02C","Baritone or Euphonium Player","Enlisted"
"02C","Infantry/Armor/Field Artillery/Engineer Immaterial","Officer"
"02D","French Horn Player","Enlisted"
"02E","Trombone Player","Enlisted"
"02F","Tuba Player","Enlisted"
"02G","Flute or Piccolo Player","Enlisted"
"02H","Oboe Player","Enlisted"
"02J","Clarinet Player","Enlisted"
"02K","Bassoon Player","Enlisted"
"02L","Saxophone Player","Enlisted"
"02M","Percussion Player","Enlisted"
"02N","Keyboard Player","Enlisted"
"02N","Piano Player","Enlisted"
"02P","Brass Group Leader","Enlisted"
"02Q","Woodwind Group Leader","Enlisted"
"02R","Percussion Group Leader","Enlisted"
"02S","Special Bandmember","Enlisted"
"02T","Guitar Player","Enlisted"
"02U","Electric Bass Player","Enlisted"
"02Z","Bands Senior Sergeant","Enlisted"
"03B","Performing Arts Specialist","Enlisted"
"03C","Physical Activities Specialist","Enlisted"
"03D","Arts and Crafts Specialist","Enlisted"
"03Z","Special Services Senior Sergeant","Enlisted"
"04B","Translator-Interpreter","Enlisted"
"05A","Army Medical Department (AMEDD) Immaterial","Officer"
"05B","Radio Operator","Enlisted"
"05C","Radio Teletype Operator","Enlisted"
"05D","Electronic Warfare/Signal Intelligence Emitter Identifier/Locator","Enlisted"
"05E","Voice Radio Operator","Enlisted"
"05F","Radio Teletypewriter Operator (Non-Morse)","Enlisted"
"05G","Signal Security Specialist","Enlisted"
"05H","Electronic Warfare/Signal Intelligence Morse Interceptor","Enlisted"
"05K","Electronic Warfare/Signal Intelligence Non-Morse Interceptor","Enlisted"
"09L","Interpreter/Translator","Enlisted"
"11A","Infantry Officer","Officer"
"11B","Infantryman","Enlisted"
"11C","Indirect Fire Infantryman","Enlisted"
"11D","Armor Reconnaissance Specialist","Enlisted"
"11E","Armor Crewman","Enlisted"
"11H","Heavy Anti-armor Weapons Crewman","Enlisted"
"11L","lnfantry Senior Sergeant","Enlisted"
"11M","Fighting Vehicle Infantryman","Enlisted"
"11Z","Infantry Senior Sergeant","Enlisted"
"120A","Construction Engineering Technician","Warrant Officer"
"125D","Geospatial Engineering Technician","Warrant Officer"
"12A","Armor, General","Officer"
"12A","Engineer","Officer"
"12A","General Engineer","Officer"
"12A","Engineer Senior Sergeant","Enlisted"
"12B","Armor","Officer"
"12B","Combat Engineer","Officer"
"12B","Combat Engineer","Enlisted"
"12B","Combat Engineer","Enlisted"
"12C","Bridge Crewmember","Enlisted"
"12C","Cavalry","Officer"
"12C","Bridge Crewman","Enlisted"
"12D","Facilities/Contract Construction Management Engineer (FCCME)","Officer"
"12D","Diver","Enlisted"
"12E","Atomic Demolition Munitions (ADM) Specialist","Enlisted"
"12F","Engineer Tracked Vehicle Crewman","Enlisted"
"12G","Quarrying Specialist","Enlisted"
"12H","Construction Engineering Supervisor","Enlisted"
"12K","Plumber","Enlisted"
"12M","Firefighter","Enlisted"
"12N","Horizontal Construction Engineer","Enlisted"
"12P","Prime Power Production Specialist","Enlisted"
"12Q","Power Line Distribution Specialist","Enlisted"
"12R","Interior Electrician","Enlisted"
"12T","Technical Engineer","Enlisted"
"12V","Concrete and Asphalt Equipment Operator","Enlisted"
"12W","Carpentry and Masonry Specialist","Enlisted"
"12X","General Engineering Supervisor","Enlisted"
"12X","General Engineering Supervisor","Enlisted"
"12Y","Geospatial Engineer","Enlisted"
"12Z","Engineering Senior Sergeant","Enlisted"
"12Z","Combat Engineering Senior Sergeant","Enlisted"
"12Z","Combat Engineering Senior Sergeant","Enlisted"
"131A","Field Artillery Targeting Technician","Warrant Officer"
"13A","Field Artillery, General","Officer"
"13B","Cannon Crewmember","Enlisted"
"13B","Light Missile Field Artillery","Officer"
"13C","Tactical Automated Fire Control Systems Specialist","Enlisted"
"13D","Field Artillery Automated tactical Data Systems Specialist","Enlisted"
"13D","Field Artillery Target Acquisition","Officer"
"13E","Cannon Fire Direction Specialist","Enlisted"
"13E","Cannon Field Artillery","Officer"
"13F","Fire Support Specialist","Enlisted"
"13M","Multiple Launch Rocket System (MLRS)","Enlisted"
"13M","Multiple Launch Rocket System","Enlisted"
"13N","Lance Crewmember","Enlisted"
"13P","Multiple Launch Rocket System/Fire Direction Specialist","Enlisted"
"13R","Field Artillery Firefinder Radar Operator","Enlisted"
"13S","Field Artillery Surveyor","Enlisted"
"13T","Field Artillery Metrological/Surveyor Crewmember","Enlisted"
"13W","Field Artillery Meteorological Crewmembers","Enlisted"
"13Y","Cannon/Missile Senior Sergeant","Enlisted"
"13Z","Field Artillery (FA) Senior Sergeant","Enlisted"
"140A","Command and Control Systems Integrator","Warrant Officer"
"140B","FAAD Systems Technician (Reserve Component only)","Warrant Officer"
"140D","HAWK Systems Technician (Reserve Component only)","Warrant Officer"
"140E","Air and Missile Defense (AMD) Systems Tactician/Technician","Warrant Officer"
"140X","Air Defense Artillery Immaterial","Warrant Officer"
"14A","Air Defense Artillery Officer","Officer"
"14B","Short-Range Air Defense Artillery (Shorad)","Officer"
"14D","Hawk Missile System Crewmember (RC)","Enlisted"
"14D","Hawk Missile Air Defense Artillery","Officer"
"14E","PATRIOT Fire Control Enhanced Operator/Maintainer","Enlisted"
"14E","Patriot Missile Air Defense Artillery","Officer"
"14G","Air Defense (AD) Battle Management System Operator","Enlisted"
"14H","Air Defense (AD) Enhanced Early Warning System Operator","Enlisted"
"14J","Air Defense Command, Control, Communications, Computers Maintainer","Enlisted"
"14L","AN/TSQ 73 Air Defense Artillery System Operator","Enlisted"
"14M","Man Portable Air Defense System Crewmember","Enlisted"
"14R","Bradley Linebacker Crewmember","Enlisted"
"14S","Avenger Crewmember","Enlisted"
"14S","Air and Missile Defense (AMD) Crewmember","Enlisted"
"14T","PATRIOT Launching Station Enhanced Operator/Maintainer","Enlisted"
"14Z","Air Defense Artillery (ADA) Senior Sergeant","Enlisted"
"150A","Air Traffic and Air Space Management Technician","Warrant Officer"
"150U","Unmanned Aircraft Systems Operations Technician","Warrant Officer"
"151A","Aviation Maintenance Technician","Warrant Officer"
"152B","OH-58A/C Scout","Warrant Officer"
"152C","OH-6 Pilot","Warrant Officer"
"152D","OH-58D Pilot","Warrant Officer"
"152E","RAH-66 COMMANCHE Pilot","Warrant Officer"
"152E","ARH-70A Pilot","Warrant Officer"
"152F","AH-64A Attack Pilot","Warrant Officer"
"152G","AH-1 Attack Pilot (RC)","Warrant Officer"
"152H","AH-64D Attack Pilot","Warrant Officer"
"153A","Rotary Wing Aviator (Aircraft Nonspecific)","Warrant Officer"
"153B","UH-1 Pilot (Reserve Component only)","Warrant Officer"
"153D","UH-60 Pilot","Warrant Officer"
"153E","MH-60 Pilot","Warrant Officer"
"153L","UH-72A Pilot (RC only)","Warrant Officer"
"153M","UH-60M Pilot","Warrant Officer"
"154C","CH-47D Pilot","Warrant Officer"
"154E","MH-47 Pilot","Warrant Officer"
"154F","CH-47F Pilot","Warrant Officer"
"155A","Fixed Wing Aviator (Aircraft Nonspecific)","Warrant Officer"
"155D","U-21 Pilot","Warrant Officer"
"155E","C-12 Pilot","Warrant Officer"
"155F","Jet Aircraft Pilot","Warrant Officer"
"155G","O-5A/EO-5B/RC-7 Pilot","Warrant Officer"
"156A","OV-1/RV-1 Pilot","Warrant Officer"
"15A","Aviation, General","Officer"
"15A","Aviation Life Support Systems Repairer (ALSS Rep)","Enlisted"
"15B","Aviation Combined Arms Operations","Officer"
"15B","Aircraft Powerplant Repairer","Enlisted"
"15C","Aviation All-Source Intelligence","Officer"
"15D","Aircraft Powertrain Repairer","Enlisted"
"15D","Aviation Logistics","Officer"
"15E","Unmanned Aircraft Systems Repairer","Enlisted"
"15F","Aircraft Electrician","Enlisted"
"15G","Aircraft Structural Repairer","Enlisted"
"15H","Aircraft Pneudraulics Repairer","Enlisted"
"15J","OH-58D Armament/Electrical/Avionics Systems Repairer","Enlisted"
"15K","Aircraft Components Repair Supervisor","Enlisted"
"15M","UH-1 Helicopter Repairer (RC)","Enlisted"
"15N","Avionic Mechanic","Enlisted"
"15P","Aviation Operations Specialist","Enlisted"
"15Q","Air Traffic Control (ATC) Operator (ATC Operator)","Enlisted"
"15Q","Air Traffic Control Operator","Enlisted"
"15R","AH-64 Attack Helicopter Repairer","Enlisted"
"15S","OH-58D Helicopter Repairer","Enlisted"
"15T","UH-60 Helicopter Repairer","Enlisted"
"15U","CH-47 Helicopter Repairer","Enlisted"
"15V","Observation/Scout Helicopter Repairer (RC)","Enlisted"
"15W","Unmanned Aerial Vehicle Operator","Enlisted"
"15X","AH-64A Armament/Electrical/Avionics Systems Repairer (AH-64A","Enlisted"
"15X","AH-64A Armament/Electrical/Avionics Systems Repairer","Enlisted"
"15Y","AH-64D Armament/Electrical/Avionics Systems Repairer","Enlisted"
"15Z","Field Artillery Missile/Rocket Senior Sergeant","Enlisted"
"15Z","Aircraft Maintenance Senior Sergeant","Enlisted"
"16B","Hercules Missile Crew Member","Enlisted"
"16C","Hercules Fire Control Crew Member","Enlisted"
"16D","Hawk Missile Crewmember","Enlisted"
"16E","Hawk Fire Control Crewmember","Enlisted"
"16F","Light Air Defense Artillery Crewmember","Enlisted"
"16J","Defense Acquisition Radar Operator","Enlisted"
"16J","Forward Area Alerting Radar Crewman","Enlisted"
"16L","Sgt. York Air Defense Gun System Crewmember","Enlisted"
"16P","Chaparral Crewmember","Enlisted"
"16R","Vulcan Crewmember","Enlisted"
"16S","Man Portable Air Defense System (MANPADS) Crewmember or Pedestal Mounted Stinger Crewmember","Enlisted"
"16S","Man Portable Air Defense System (MANPADS) Crewmember or Pedestal M","Enlisted"
"16T","Patriot Missile Crewmember","Enlisted"
"16Z","Air Defense Artillery Senior Sergeant","Enlisted"
"17A","Combat Surveillance and Target Acquisition Crewman","Enlisted"
"17B","Field Artillery Radar Crewmember","Enlisted"
"17C","Field Artillery Target Acquisition Specialist","Enlisted"
"17D","Flash Ranging Crewman","Enlisted"
"17E","Field Illumination Crewman","Enlisted"
"17K","Ground Surveillance Radar Crewman","Enlisted"
"17L","Aerial Sensor Specialist (OV-1B/C)","Enlisted"
"17M","Unattended Ground Sensor Specialist","Enlisted"
"17Z","Combat Surveillance and Target Acquisition NCO","Enlisted"
"180A","Special Forces Warrant Officer","Warrant Officer"
"18A","Special Forces","Officer"
"18B","Special Forces Weapons Sergeant","Enlisted"
"18C","Special Forces Engineer Sergeant","Enlisted"
"18D","Special Forces Medical Sergeant","Enlisted"
"18E","Special Forces Communications Sergeant","Enlisted"
"18F","Special Forces Assistant Operations and Intelligence Sergeant","Enlisted"
"18Z","Special Forces Senior Sergeant","Enlisted"
"19A","Armor, General","Officer"
"19B","Armor","Officer"
"19C","Cavalry","Officer"
"19D","Cavalry Scout","Enlisted"
"19E","M48-M60 Armor Crewman","Enlisted"
"19F","Tank Driver","Enlisted"
"19G","Armor Reconnaissance Vehicle Crewman","Enlisted"
"19H","Armor Reconnaissance Vehicle Driver","Enlisted"
"19J","M60A2 Armor Crewman","Enlisted"
"19K","M1 Armor Crewman","Enlisted"
"19Z","Armor Senior Sergeant","Enlisted"
"210A","Utilities Operation and Maintenance Technician","Warrant Officer"
"210A","Construction Engineering Technician","Warrant Officer"
"215D","Geospatial Engineering","Warrant Officer"
"215D","Geospatial Information Technician","Warrant Officer"
"215D","Terrain Analysis Technician","Warrant Officer"
"21A","Engineer General","Officer"
"21B","Combat Engineer","Enlisted"
"21B","Combat Engineer","Officer"
"21C","Bridge Crewman","Enlisted"
"21D","Facilities/Contract Construction Management Engineer (FCCME)","Officer"
"21D","Diver","Enlisted"
"21E","Heavy Construction Equipment Operator","Enlisted"
"21F","Crane Operator","Enlisted"
"21G","Quarrying Specialist","Enlisted"
"21H","Construction Engineering Supervisor","Enlisted"
"21J","General Construction Equipment Operator","Enlisted"
"21K","Plumber","Enlisted"
"21L","Lithographer","Enlisted"
"21M","Firefighter","Enlisted"
"21N","Horizontal Construction Engineer","Enlisted"
"21N","Construction Equipment Supervisor","Enlisted"
"21P","Prime Power Production Specialist","Enlisted"
"21Q","Power Line Distribution Specialist (RC)","Enlisted"
"21R","Interior Electrician","Enlisted"
"21S","Sergeant Missile Guidance Repairman","Enlisted"
"21S","Topographic Surveyor","Enlisted"
"21T","Technical Engineering Specialist","Enlisted"
"21U","Topographic Analyst","Enlisted"
"21V","Concrete and Asphalt Equipment Operator","Enlisted"
"21W","Carpentry and Masonry Specialist","Enlisted"
"21X","General Engineering Supervisor","Enlisted"
"21Y","Geospatial Engineer","Enlisted"
"21Z","Combat Engineering Senior Sergeant","Enlisted"
"22K","Hawk Missile and Launcher Repairer","Enlisted"
"22L","Nike Test Equipment Repairer","Enlisted"
"22N","Nike-Hercules Missile Launcher Repairer","Enlisted"
"23N","Nike Track Radar Repairer","Enlisted"
"23Q","Hawk Fire Control Repairman","Enlisted"
"23R","Hawk Missile System Mechanic","Enlisted"
"23S","Hawk Pulse Radar Repairman","Enlisted"
"23T","Hawk Continuous Wave Radar Repairman","Enlisted"
"23U","Nike High Power Radar-Simulator Repairer","Enlisted"
"23V","Hawk Maintenance Chief","Enlisted"
"23W","Nike Maintenance Chief","Enlisted"
"24A","Telecommunications Systems Engineer (functional Area)","Officer"
"24B","Hawk Continuous Wave Radar Mechanic","Enlisted"
"24B","Data Systems Engineer","Officer"
"24C","Hawk Firing Section Mechanic","Enlisted"
"24D","Hawk Missile-Launcher Mechanic","Enlisted"
"24E","Hawk Fire Control Mechanic","Enlisted"
"24F","Hawk Fire Control Mechanic","Enlisted"
"24G","Hawk Information Coordination Central Mechanic","Enlisted"
"24H","Hawk Fire Control Repairer","Enlisted"
"24J","Hawk Pulse Radar Repairer","Enlisted"
"24K","Hawk Continuous Wave Radar Repairer","Enlisted"
"24L","Hawk Launcher and Mechanical Systems Repairer","Enlisted"
"24M","Vulcan System Mechanic","Enlisted"
"24N","Chaparral System Mechanic","Enlisted"
"24P","Defense Acquisition Radar Mechanic","Enlisted"
"24Q","Nike-Hercules Fire Control Mechanic","Enlisted"
"24R","Hawk Master Mechanic","Enlisted"
"24T","Patriot Operator and System Mechanic","Enlisted"
"24U","Nike-Hercules Custodial Mechanic","Enlisted"
"24V","Hawk Maintenance Chief","Enlisted"
"24W","Sgt. York Air Defense Gun System Mechanic","Enlisted"
"250A","Communications Security Technician","Warrant Officer"
"250A","Telecommunications Technician","Warrant Officer"
"250B","Tactical Automated Network Technician","Warrant Officer"
"250N","Network Management Technician","Warrant Officer"
"251A","Information Systems Technician","Warrant Officer"
"254A","Signal Systems Support Technician","Warrant Officer"
"255A","Information Services Technician","Warrant Officer"
"255N","Network Management Technician","Warrant Officer"
"255S","Information Protection Technician","Warrant Officer"
"255Z","Senior Signal Systems Technician","Warrant Officer"
"255Z","Senior Network Operations Technician","Warrant Officer"
"256A","Communications-Electronics Repair Technician","Warrant Officer"
"25A","Signal, Operations","Officer"
"25B","Information Technology Specialist","Enlisted"
"25B","Communications-Electronics (C-E) Automation","Officer"
"25C","Radio Operator-Maintainer","Enlisted"
"25C","Communications-Electronics (C-E) Operations","Officer"
"25D","Telecommunications Operator/Maintainer","Enlisted"
"25D","Communications-Electronics (C-E) Engineering","Officer"
"25E","Electromagnetic Spectrum Manager","Enlisted"
"25E","Information Systems and Networking","Officer"
"25F","Network Switching Systems Operator-Maintainer","Enlisted"
"25G","Mobile ADCP Monitor Repairman","Enlisted"
"25H","Radar Data Processing Equipment Repairman","Enlisted"
"25J","Operations Central Repairer","Enlisted"
"25K","AN/TSQ-51 System Repairman/Maintenance Chief","Enlisted"
"25L","AN/TSQ-73 ADA Command & Control System Operator/Maintainer","Enlisted"
"25L","Cable Systems Installer-Maintainer","Enlisted"
"25M","Multimedia Illustrator","Enlisted"
"25N","Nodal Network Systems Operator-Maintainer","Enlisted"
"25P","Microwave Systems Operator-Maintainer","Enlisted"
"25Q","Multichannel Transmission Systems Operator-Maintainer","Enlisted"
"25Q","Multichannel Transmission Systems","Enlisted"
"25R","Visual Information/Audio Equipment Repairer","Enlisted"
"25S","Satellite Communication Systems Operator-Maintainer","Enlisted"
"25T","Satellite/Microwave Systems Chief","Enlisted"
"25U","Signal Support Systems Specialist","Enlisted"
"25V","Combat Documentation/Production Specialist","Enlisted"
"25W","Telecommunications Operations Chief","Enlisted"
"25X","Senior Signal Sergeant","Enlisted"
"25Y","Information Systems Chief","Enlisted"
"25Z","Visual Information Operations Chief","Enlisted"
"26B","Weapons Support Radar Repairer","Enlisted"
"26C","Target Acquisition/Surveillance Radar Repairer","Enlisted"
"26D","Ground Control Approach Radar Repairer","Enlisted"
"26E","Aerial Radar Sensor Repairer","Enlisted"
"26F","Aerial Photoactive Sensor Repairer","Enlisted"
"26H","Air Defense Radar Repairer","Enlisted"
"26K","Aerial Electronic Warning Defense Equipment Repairer","Enlisted"
"26L","Tactical Microwave Systems Repairer","Enlisted"
"26M","Aerial Surveillance Radar Repairer","Enlisted"
"26N","Aerial Surveillance Infrared Repairer","Enlisted"
"26P","Radio Propagation Specialist","Enlisted"
"26Q","Tactical Satellite/Microwave Systems Operator","Enlisted"
"26R","Strategic Satellite/Microwave System Operator","Enlisted"
"26T","Radio/Television Systems Specialist","Enlisted"
"26U","Unattended Ground Sensor Systems Repairman","Enlisted"
"26V","Strategic Microwave Systems Repairer","Enlisted"
"26W","Radar Maintenance Supervisor-Inspector","Enlisted"
"26Y","Satellite Communications Ground Station Equipment Repairer","Enlisted"
"270A","Legal Administrator","Warrant Officer"
"27A","Judge Advocate, General","Officer"
"27B","Military Judge","Officer"
"27B","Land Combat Support System (LCSS) Test Specialist","Enlisted"
"27D","Paralegal Specialist","Enlisted"
"27E","Land Combat Electronic Missile System Repairer","Enlisted"
"27F","Vulcan Repairer","Enlisted"
"27G","Chaparral and Redeye Repairer","Enlisted"
"27H","Hawk Field Maintenance Equipment and Firing Repairer","Enlisted"
"27J","Hawk Field Maintenance Equipment/Pulse Acquisition Radar Repairer","Enlisted"
"27K","Hawk Fire Control/Continuous Wave Radar Repairer","Enlisted"
"27L","Lance System Repairer","Enlisted"
"27M","Multiple Launch Rocket System (MLRS) Repairer","Enlisted"
"27N","Forward Area Alerting Radar (FAAR) Repairer","Enlisted"
"27P","Sgt. York Air Defense Gun System Radar/Electronic Repairer","Enlisted"
"27Q","Sgt. York Air Defense Gun System Test Specialist","Enlisted"
"27T","Avenger System Repairer","Enlisted"
"27V","Hawk Maintenance Chief","Enlisted"
"27X","Patriot System Repairer","Enlisted"
"27Z","Missile Systems Maintenance Chief","Enlisted"
"28M","Anti-Ballistic Missile Maintenance Specialist","Enlisted"
"290A","Electronic Warfare (EW) Technician","Warrant Officer"
"29A","Electronic Warfare Officer (Functional Area)","Officer"
"29E","Electronic Warfare Specialist","Enlisted"
"29E","Communications Electronics Radio Repairer","Enlisted"
"29F","Fixed Communications Security Equipment Repairer","Enlisted"
"29G","Digital Communications Equipment Repairer","Enlisted"
"29H","Automatic Digital Message Switch Equipment (ADMSE) Repairer","Enlisted"
"29J","Teletypewriter Equipment Repairer","Enlisted"
"29M","Tactical Satellite/Microwave Repairer","Enlisted"
"29N","Switching Central Repairer","Enlisted"
"29P","Communications Security Maintenance Chief","Enlisted"
"29S","Communications Security Equipment Repairer","Enlisted"
"29T","Satellite/Microwave Communications Chief","Enlisted"
"29U","Digital Equipment Maintenance Chief","Enlisted"
"29V","Microwave Systems Operator/Repairer","Enlisted"
"29W","Electronics Maintenance Supervisor","Enlisted"
"29X","Communications Equipment Maintenance Chief","Enlisted"
"29Y","Satellite Communications (SATCOM) Systems Repairer","Enlisted"
"29Z","Electronics Maintenance Chief","Enlisted"
"30A","Information Operations Officer (functional area)","Officer"
"311A","CID Special Agent","Warrant Officer"
"31A","Military Police","Officer"
"31B","Military Police","Enlisted"
"31C","Radio Operator-Maintainer","Enlisted"
"31D","CID Special Agent","Enlisted"
"31D","Mobile Subscriber Equipment Transmission System Operator","Enlisted"
"31E","Internment/Resettlement Specialist","Enlisted"
"31F","Network Switching Systems Operator/Maintainer","Enlisted"
"31G","Tactical Communication Chief","Enlisted"
